index,sample.ID,ID,split,fold
118,10108,10108,test,-1
119,1011,1011,calibration,5
120,10110,10110,calibration,5
121,10111,10111,test,-1
122,10112,10112,calibration,2
123,10113,10113,test,-1
124,10114,10114,calibration,3
125,10115,10115,calibration,3
126,10117,10117,calibration,2
127,10118,10118,calibration,2
129,1012,1012,test,-1
130,10120,10120,calibration,1
131,10121,10121,calibration,1
132,10123,10123,test,-1
133,10124,10124,calibration,1
134,10125,10125,test,-1
135,10126,10126,calibration,3
136,10127,10127,calibration,4
137,10129,10129,calibration,1
138,1013,1013,calibration,3
139,10130,10130,test,-1
140,10131,10131,test,-1
141,10132,10132,calibration,5
142,10133,10133,calibration,2
143,10134,10134,test,-1
144,10135,10135,test,-1
146,10138,10138,calibration,1
147,10139,10139,calibration,3
148,1014,1014,calibration,3
149,10140,10140,test,-1
150,10141,10141,test,-1
151,10142,10142,test,-1
152,10143,10143,calibration,2
153,10144,10144,calibration,5
154,10145,10145,test,-1
155,10147,10147,calibration,1
156,10148,10148,calibration,5
157,10149,10149,test,-1
158,1015,1015,calibration,1
159,10150,10150,calibration,1
160,10151,10151,calibration,3
161,10152,10152,test,-1
162,10153,10153,test,-1
163,10154,10154,calibration,2
164,10155,10155,calibration,2
165,10156,10156,test,-1
166,10157,10157,calibration,5
167,10158,10158,calibration,4
168,10159,10159,test,-1
169,1016,1016,test,-1
170,10160,10160,test,-1
171,10161,10161,calibration,4
172,10162,10162,calibration,3
173,10163,10163,calibration,3
174,10165,10165,calibration,5
175,10166,10166,calibration,4
176,10167,10167,test,-1
177,10168,10168,calibration,2
178,10169,10169,calibration,5
179,1017,1017,calibration,5
180,10170,10170,calibration,3
181,10171,10171,test,-1
182,10172,10172,calibration,3
183,10173,10173,test,-1
184,10174,10174,test,-1
185,10175,10175,calibration,1
186,10176,10176,test,-1
187,10177,10177,calibration,4
188,10178,10178,test,-1
189,10179,10179,calibration,5
190,1018,1018,test,-1
191,10180,10180,test,-1
192,10181,10181,calibration,5
193,10182,10182,test,-1
194,10183,10183,test,-1
195,10184,10184,calibration,3
196,10185,10185,calibration,2
197,10186,10186,calibration,3
198,10187,10187,calibration,1
199,10188,10188,calibration,5
200,10189,10189,calibration,2
201,1019,1019,calibration,4
202,10190,10190,calibration,3
203,10191,10191,test,-1
204,10192,10192,calibration,2
205,10193,10193,calibration,3
206,10195,10195,test,-1
207,10196,10196,calibration,5
208,10198,10198,calibration,4
209,10199,10199,calibration,3
210,102,102,calibration,1
211,1020,1020,test,-1
212,10200,10200,test,-1
213,10201,10201,test,-1
214,10202,10202,calibration,3
215,10203,10203,test,-1
216,10205,10205,test,-1
217,10206,10206,test,-1
218,10207,10207,test,-1
219,10208,10208,calibration,1
220,10209,10209,calibration,2
221,1021,1021,calibration,3
222,10210,10210,calibration,5
223,10211,10211,calibration,5
224,10212,10212,calibration,5
225,10213,10213,calibration,5
226,10214,10214,calibration,5
227,10215,10215,test,-1
228,10216,10216,calibration,3
229,10217,10217,calibration,2
230,10218,10218,calibration,3
231,10219,10219,calibration,1
232,1022,1022,test,-1
233,10220,10220,test,-1
234,10221,10221,calibration,1
235,10222,10222,calibration,5
236,10223,10223,test,-1
237,10224,10224,calibration,1
238,10226,10226,test,-1
239,10227,10227,test,-1
240,10228,10228,calibration,1
241,10229,10229,calibration,5
242,1023,1023,test,-1
243,10230,10230,calibration,5
244,10231,10231,calibration,4
245,10232,10232,calibration,3
246,10233,10233,test,-1
247,10234,10234,calibration,3
248,10235,10235,calibration,5
249,10236,10236,calibration,4
250,10237,10237,test,-1
251,10238,10238,test,-1
252,10239,10239,calibration,2
253,1024,1024,calibration,3
254,10240,10240,calibration,1
255,10241,10241,test,-1
256,10242,10242,calibration,1
257,10243,10243,calibration,1
258,10244,10244,calibration,3
259,10245,10245,calibration,3
260,10246,10246,test,-1
261,10248,10248,calibration,4
262,10249,10249,calibration,4
263,1025,1025,test,-1
264,10250,10250,test,-1
265,10251,10251,calibration,3
266,10252,10252,calibration,4
267,10253,10253,calibration,2
268,10254,10254,calibration,3
269,10255,10255,calibration,3
270,10256,10256,calibration,5
271,10257,10257,calibration,5
272,10258,10258,test,-1
273,10259,10259,test,-1
274,1026,1026,calibration,1
275,10260,10260,test,-1
276,10261,10261,calibration,5
277,10262,10262,test,-1
278,10263,10263,calibration,4
279,10264,10264,test,-1
280,10265,10265,test,-1
281,10266,10266,calibration,2
282,10267,10267,test,-1
283,10268,10268,calibration,4
284,10269,10269,calibration,3
285,1027,1027,test,-1
286,10270,10270,calibration,2
287,10271,10271,calibration,3
288,10272,10272,calibration,3
289,10273,10273,calibration,3
290,10274,10274,test,-1
291,10275,10275,calibration,3
293,10277,10277,calibration,3
294,10278,10278,test,-1
295,10279,10279,test,-1
296,1028,1028,calibration,3
297,10280,10280,calibration,5
298,10281,10281,calibration,2
299,10282,10282,calibration,2
300,10283,10283,calibration,4
301,10284,10284,calibration,1
302,10285,10285,test,-1
303,10286,10286,calibration,5
304,10287,10287,test,-1
305,10288,10288,calibration,1
306,10289,10289,test,-1
307,1029,1029,test,-1
308,10290,10290,calibration,2
309,10291,10291,calibration,5
310,10292,10292,test,-1
311,10293,10293,calibration,4
312,10294,10294,calibration,4
313,10295,10295,calibration,4
314,10296,10296,calibration,3
315,10297,10297,calibration,5
316,10298,10298,test,-1
317,10299,10299,calibration,3
318,103,103,test,-1
319,1030,1030,calibration,5
320,10300,10300,calibration,3
321,10301,10301,calibration,4
322,10302,10302,calibration,4
323,10303,10303,calibration,5
324,10304,10304,test,-1
325,10305,10305,test,-1
326,10306,10306,calibration,5
327,10309,10309,test,-1
328,1031,1031,calibration,4
329,10310,10310,test,-1
330,10311,10311,calibration,2
331,10313,10313,calibration,4
332,10314,10314,test,-1
333,10315,10315,calibration,3
334,10319,10319,test,-1
335,1032,1032,calibration,2
336,10320,10320,calibration,2
337,10321,10321,calibration,3
338,10322,10322,test,-1
339,10323,10323,test,-1
340,10326,10326,calibration,5
341,10327,10327,test,-1
342,1033,1033,calibration,1
343,10330,10330,calibration,5
344,10331,10331,calibration,5
345,10332,10332,calibration,2
346,10333,10333,calibration,2
347,10334,10334,calibration,4
348,10336,10336,calibration,2
349,10337,10337,test,-1
350,10338,10338,calibration,5
351,10339,10339,test,-1
352,1034,1034,test,-1
353,10340,10340,test,-1
354,10341,10341,test,-1
355,10342,10342,test,-1
356,10343,10343,calibration,2
357,10344,10344,test,-1
358,10345,10345,calibration,1
359,10346,10346,test,-1
360,10347,10347,calibration,1
361,10348,10348,calibration,4
362,10349,10349,calibration,3
363,1035,1035,calibration,1
364,10350,10350,calibration,4
365,10351,10351,calibration,2
366,10352,10352,calibration,2
367,10353,10353,calibration,4
368,10354,10354,calibration,3
369,10355,10355,test,-1
370,10356,10356,calibration,4
372,10358,10358,calibration,5
373,10359,10359,calibration,2
374,1036,1036,test,-1
375,10360,10360,calibration,3
376,10361,10361,calibration,2
377,10362,10362,test,-1
378,10363,10363,test,-1
379,10364,10364,calibration,5
380,10365,10365,calibration,4
381,10366,10366,calibration,5
382,10367,10367,calibration,2
383,10368,10368,calibration,1
384,10369,10369,calibration,2
385,1037,1037,calibration,4
386,10370,10370,calibration,5
387,10371,10371,test,-1
389,10374,10374,calibration,2
390,10375,10375,calibration,2
391,10376,10376,calibration,1
392,10377,10377,calibration,2
393,10378,10378,test,-1
394,10379,10379,calibration,3
395,1038,1038,calibration,1
396,10380,10380,test,-1
397,10381,10381,calibration,2
398,10382,10382,calibration,4
400,10384,10384,calibration,2
401,10385,10385,calibration,1
402,10388,10388,test,-1
403,10389,10389,test,-1
404,1039,1039,calibration,3
405,10390,10390,test,-1
406,10391,10391,calibration,4
407,10392,10392,test,-1
408,10394,10394,test,-1
409,10397,10397,test,-1
410,10398,10398,calibration,5
411,10399,10399,test,-1
412,104,104,calibration,1
413,1040,1040,calibration,1
414,10400,10400,calibration,2
415,10401,10401,calibration,4
416,10402,10402,test,-1
417,10403,10403,calibration,5
418,10404,10404,test,-1
419,10405,10405,calibration,1
420,10406,10406,calibration,4
421,10407,10407,calibration,5
422,10408,10408,calibration,3
423,10409,10409,test,-1
424,1041,1041,test,-1
425,10410,10410,calibration,4
426,10411,10411,calibration,2
427,10412,10412,test,-1
428,10413,10413,test,-1
429,10414,10414,test,-1
430,10415,10415,calibration,4
431,10416,10416,calibration,3
432,10417,10417,calibration,3
433,10418,10418,calibration,1
434,10419,10419,calibration,1
435,1042,1042,calibration,4
436,10420,10420,calibration,2
437,10421,10421,calibration,2
438,10422,10422,calibration,4
439,10423,10423,test,-1
440,10424,10424,test,-1
441,10427,10427,test,-1
442,10428,10428,test,-1
443,10429,10429,test,-1
445,10430,10430,calibration,2
446,10431,10431,calibration,2
447,10432,10432,test,-1
448,10433,10433,test,-1
449,10434,10434,test,-1
450,10435,10435,calibration,3
451,10436,10436,calibration,2
452,10437,10437,calibration,1
453,10438,10438,test,-1
454,10439,10439,calibration,1
455,1044,1044,test,-1
456,10440,10440,test,-1
457,10441,10441,calibration,5
458,10442,10442,calibration,1
459,10443,10443,calibration,4
460,10444,10444,calibration,5
461,10445,10445,calibration,1
462,10446,10446,calibration,4
463,10447,10447,calibration,4
464,10448,10448,calibration,5
465,10449,10449,calibration,3
466,1045,1045,calibration,5
467,10450,10450,calibration,5
468,10451,10451,test,-1
470,10453,10453,test,-1
471,10454,10454,calibration,4
472,10455,10455,test,-1
473,10456,10456,test,-1
474,10457,10457,calibration,1
475,1046,1046,calibration,1
476,1047,1047,calibration,2
478,10479,10479,calibration,4
479,1048,1048,calibration,4
480,10480,10480,calibration,4
481,10481,10481,calibration,2
482,10482,10482,test,-1
483,10483,10483,test,-1
484,10484,10484,test,-1
485,10485,10485,calibration,2
486,10486,10486,test,-1
487,10487,10487,calibration,1
488,10488,10488,calibration,5
489,10489,10489,test,-1
490,1049,1049,calibration,5
491,10490,10490,calibration,2
492,10491,10491,calibration,3
493,10492,10492,test,-1
494,10493,10493,calibration,1
495,10494,10494,calibration,1
496,10495,10495,test,-1
497,10496,10496,calibration,3
498,10498,10498,calibration,5
499,10499,10499,calibration,5
500,105,105,calibration,2
501,1050,1050,test,-1
502,10500,10500,calibration,1
503,10501,10501,calibration,4
504,10502,10502,calibration,5
505,10503,10503,calibration,1
506,10504,10504,test,-1
507,10505,10505,calibration,2
508,10506,10506,test,-1
509,10507,10507,calibration,2
510,10508,10508,calibration,1
511,10509,10509,calibration,5
512,1051,1051,calibration,5
513,10510,10510,test,-1
514,10511,10511,calibration,5
515,10512,10512,calibration,4
516,10513,10513,calibration,5
517,10514,10514,calibration,3
518,10515,10515,calibration,2
519,10516,10516,test,-1
520,10517,10517,calibration,3
521,10518,10518,test,-1
522,10519,10519,test,-1
523,10520,10520,calibration,5
524,10521,10521,calibration,5
525,10522,10522,test,-1
526,10523,10523,calibration,3
527,10525,10525,test,-1
528,10526,10526,calibration,1
529,10527,10527,calibration,1
530,10528,10528,calibration,5
531,10529,10529,test,-1
532,1053,1053,test,-1
533,10530,10530,test,-1
534,10531,10531,calibration,2
535,10532,10532,calibration,1
536,10533,10533,calibration,2
537,10534,10534,calibration,5
538,10535,10535,calibration,2
539,10536,10536,calibration,2
540,10538,10538,calibration,4
541,10539,10539,test,-1
542,1054,1054,test,-1
543,10541,10541,calibration,3
544,10542,10542,calibration,3
545,10543,10543,calibration,5
546,10544,10544,calibration,2
547,10545,10545,calibration,4
548,10546,10546,calibration,4
549,10547,10547,calibration,4
550,10548,10548,calibration,1
551,10549,10549,test,-1
552,1055,1055,calibration,1
553,10550,10550,calibration,4
554,10551,10551,calibration,1
556,10553,10553,test,-1
557,10554,10554,calibration,5
558,10555,10555,test,-1
559,10556,10556,calibration,3
560,10557,10557,test,-1
561,10559,10559,calibration,1
562,1056,1056,calibration,1
563,10560,10560,test,-1
564,10561,10561,calibration,2
565,10562,10562,test,-1
566,10563,10563,calibration,1
567,10565,10565,calibration,3
568,10566,10566,test,-1
569,10567,10567,test,-1
570,10568,10568,test,-1
571,10569,10569,calibration,5
572,1057,1057,calibration,3
573,10570,10570,calibration,4
574,10571,10571,test,-1
575,10573,10573,calibration,4
576,10574,10574,calibration,5
577,10575,10575,test,-1
578,10576,10576,test,-1
579,10577,10577,test,-1
580,10578,10578,calibration,4
581,10579,10579,calibration,1
582,10581,10581,calibration,2
583,10582,10582,calibration,1
584,10583,10583,calibration,1
585,10584,10584,test,-1
586,10586,10586,calibration,4
587,10587,10587,calibration,2
588,10588,10588,calibration,1
589,10589,10589,test,-1
590,1059,1059,test,-1
591,10590,10590,calibration,1
592,10591,10591,test,-1
593,10593,10593,calibration,3
594,10594,10594,test,-1
595,10595,10595,calibration,4
596,10596,10596,test,-1
597,10597,10597,test,-1
598,10598,10598,calibration,4
599,10599,10599,calibration,5
600,106,106,test,-1
601,1060,1060,calibration,4
602,10600,10600,calibration,5
603,10601,10601,calibration,2
604,10602,10602,calibration,2
606,10605,10605,calibration,5
607,10606,10606,calibration,1
608,10607,10607,calibration,2
609,10608,10608,calibration,4
610,10609,10609,calibration,4
611,1061,1061,calibration,3
612,10610,10610,calibration,1
613,10611,10611,calibration,5
614,10612,10612,test,-1
615,10613,10613,test,-1
616,10614,10614,calibration,3
617,10615,10615,calibration,1
618,10616,10616,test,-1
619,10617,10617,calibration,3
620,10618,10618,calibration,2
621,10619,10619,calibration,4
622,1062,1062,test,-1
623,10620,10620,calibration,5
624,10621,10621,calibration,4
625,10622,10622,calibration,3
626,10623,10623,calibration,3
627,10624,10624,test,-1
628,10625,10625,calibration,4
629,10626,10626,calibration,1
630,10627,10627,calibration,2
631,10628,10628,test,-1
632,10629,10629,test,-1
633,1063,1063,test,-1
634,10630,10630,calibration,1
635,10631,10631,test,-1
636,10632,10632,test,-1
637,10633,10633,test,-1
638,10634,10634,calibration,2
639,10635,10635,calibration,1
640,10636,10636,calibration,3
641,10637,10637,calibration,4
642,10638,10638,calibration,4
643,10639,10639,calibration,4
644,10640,10640,calibration,5
645,10641,10641,calibration,4
646,10642,10642,calibration,1
647,10645,10645,test,-1
648,10646,10646,test,-1
649,10647,10647,calibration,3
650,10648,10648,test,-1
651,10649,10649,test,-1
652,1065,1065,calibration,3
653,10651,10651,test,-1
654,10652,10652,calibration,5
655,10654,10654,calibration,1
656,10655,10655,calibration,2
657,10656,10656,test,-1
658,10657,10657,test,-1
659,10658,10658,calibration,2
660,10659,10659,calibration,5
661,10660,10660,test,-1
662,10661,10661,calibration,1
663,10662,10662,test,-1
664,10665,10665,calibration,4
665,10666,10666,test,-1
666,10667,10667,calibration,3
667,10669,10669,calibration,4
668,1067,1067,calibration,4
669,10670,10670,calibration,2
670,10671,10671,calibration,2
671,10672,10672,calibration,3
672,10673,10673,calibration,4
673,10674,10674,calibration,1
674,10675,10675,test,-1
675,10676,10676,calibration,1
676,10677,10677,calibration,5
677,10678,10678,calibration,2
678,10679,10679,calibration,3
679,1068,1068,calibration,4
680,10680,10680,calibration,5
681,10681,10681,calibration,5
682,10682,10682,calibration,3
683,10683,10683,test,-1
684,10684,10684,test,-1
685,10685,10685,test,-1
686,10686,10686,calibration,3
687,10687,10687,test,-1
688,10688,10688,calibration,3
689,10689,10689,calibration,1
690,1069,1069,calibration,1
691,10690,10690,calibration,1
692,10691,10691,calibration,2
693,10692,10692,calibration,4
694,10693,10693,calibration,5
695,10694,10694,calibration,4
696,10695,10695,calibration,4
697,10696,10696,test,-1
698,10697,10697,calibration,3
699,10699,10699,test,-1
700,107,107,calibration,4
701,1070,1070,calibration,2
702,10700,10700,calibration,4
703,10701,10701,calibration,4
704,10702,10702,calibration,3
705,10703,10703,calibration,1
706,10704,10704,calibration,3
707,10705,10705,calibration,1
708,10706,10706,calibration,5
709,10707,10707,test,-1
710,10708,10708,calibration,4
711,10709,10709,test,-1
712,1071,1071,calibration,2
713,10710,10710,calibration,1
714,10711,10711,calibration,3
715,10712,10712,calibration,3
716,10713,10713,calibration,2
717,10714,10714,test,-1
718,10715,10715,test,-1
719,10716,10716,test,-1
720,10717,10717,calibration,4
721,10718,10718,test,-1
722,10719,10719,test,-1
723,1072,1072,calibration,5
724,10720,10720,calibration,2
725,10721,10721,calibration,4
726,10722,10722,test,-1
727,10723,10723,test,-1
728,10724,10724,calibration,1
729,10725,10725,calibration,1
730,10726,10726,test,-1
731,10728,10728,calibration,1
732,10729,10729,calibration,3
733,1073,1073,calibration,4
734,10730,10730,test,-1
735,10731,10731,calibration,5
736,10732,10732,test,-1
737,10733,10733,test,-1
738,10734,10734,calibration,1
739,10735,10735,test,-1
740,10736,10736,calibration,3
741,10737,10737,test,-1
742,10738,10738,calibration,2
743,10739,10739,calibration,5
744,1074,1074,calibration,3
745,10740,10740,calibration,2
746,10741,10741,calibration,2
747,10742,10742,test,-1
748,10743,10743,calibration,5
749,10744,10744,calibration,2
750,10745,10745,calibration,1
751,10746,10746,test,-1
753,10748,10748,calibration,1
754,10749,10749,test,-1
755,1075,1075,test,-1
756,10750,10750,calibration,4
757,10751,10751,calibration,3
758,10752,10752,test,-1
759,1076,1076,calibration,4
760,10769,10769,calibration,4
761,1077,1077,calibration,2
762,10770,10770,test,-1
763,10771,10771,test,-1
764,10772,10772,calibration,5
765,10773,10773,calibration,1
766,10774,10774,calibration,2
767,10775,10775,test,-1
768,10776,10776,calibration,4
769,10777,10777,calibration,5
770,10778,10778,test,-1
771,10779,10779,calibration,1
772,1078,1078,calibration,3
773,10780,10780,calibration,4
774,10781,10781,calibration,3
775,10782,10782,calibration,4
776,10783,10783,calibration,2
777,10784,10784,test,-1
778,10785,10785,test,-1
779,10786,10786,calibration,3
780,10787,10787,calibration,1
781,10788,10788,calibration,5
782,10789,10789,test,-1
783,1079,1079,calibration,3
784,10790,10790,calibration,5
785,10791,10791,calibration,4
786,10792,10792,test,-1
787,10793,10793,calibration,2
788,10794,10794,calibration,1
789,10795,10795,test,-1
790,10796,10796,calibration,5
791,10797,10797,calibration,1
792,10798,10798,test,-1
793,10799,10799,calibration,5
796,10800,10800,calibration,4
797,10801,10801,calibration,2
798,10802,10802,test,-1
799,10803,10803,test,-1
800,10804,10804,calibration,5
801,10805,10805,test,-1
802,10806,10806,calibration,4
803,10807,10807,calibration,3
804,10808,10808,calibration,5
805,10809,10809,test,-1
806,1081,1081,calibration,3
807,10810,10810,calibration,4
808,10811,10811,test,-1
809,10812,10812,calibration,5
810,10813,10813,calibration,5
811,10814,10814,calibration,2
812,10815,10815,calibration,3
813,10816,10816,test,-1
814,10817,10817,test,-1
815,10818,10818,calibration,3
816,10819,10819,calibration,5
817,1082,1082,test,-1
818,10820,10820,calibration,4
819,10821,10821,calibration,4
820,10822,10822,calibration,5
821,10823,10823,test,-1
822,10824,10824,calibration,4
823,10825,10825,calibration,3
824,10826,10826,calibration,2
825,10827,10827,calibration,3
826,10828,10828,calibration,1
827,10829,10829,calibration,4
828,1083,1083,calibration,1
829,10830,10830,test,-1
830,10831,10831,test,-1
831,10832,10832,test,-1
832,10833,10833,calibration,3
833,10834,10834,test,-1
834,10835,10835,calibration,5
835,10836,10836,calibration,1
836,10837,10837,calibration,2
837,1084,1084,calibration,4
838,10846,10846,calibration,5
839,10847,10847,test,-1
840,10848,10848,calibration,1
841,10849,10849,calibration,4
842,1085,1085,test,-1
843,10850,10850,calibration,2
844,10851,10851,calibration,5
845,10852,10852,calibration,2
846,10853,10853,calibration,1
847,10854,10854,calibration,1
848,10855,10855,calibration,2
849,10856,10856,calibration,4
850,10857,10857,calibration,2
851,10858,10858,calibration,3
852,10859,10859,test,-1
853,1086,1086,test,-1
854,10860,10860,calibration,1
855,10861,10861,test,-1
856,10862,10862,calibration,3
857,10863,10863,calibration,4
858,10864,10864,test,-1
859,10865,10865,calibration,5
860,10866,10866,test,-1
861,10867,10867,calibration,2
862,10868,10868,test,-1
863,10869,10869,test,-1
865,10870,10870,test,-1
866,10871,10871,test,-1
867,10872,10872,calibration,3
869,10874,10874,test,-1
870,10875,10875,calibration,4
871,10876,10876,calibration,4
872,10877,10877,calibration,5
873,10878,10878,test,-1
874,10879,10879,test,-1
876,10880,10880,calibration,5
877,10881,10881,calibration,5
878,10882,10882,calibration,1
879,10883,10883,calibration,4
880,10884,10884,calibration,4
881,10885,10885,calibration,5
882,10886,10886,calibration,4
883,10887,10887,calibration,3
884,10888,10888,calibration,2
885,10889,10889,calibration,4
886,1089,1089,calibration,5
887,10890,10890,test,-1
888,10891,10891,test,-1
889,10892,10892,calibration,4
890,10893,10893,calibration,2
891,10894,10894,calibration,5
892,10895,10895,calibration,4
893,10896,10896,calibration,4
894,10897,10897,calibration,3
895,10898,10898,test,-1
896,10899,10899,calibration,5
897,109,109,test,-1
898,1090,1090,calibration,2
899,10900,10900,calibration,5
900,10901,10901,test,-1
902,10903,10903,calibration,3
903,10904,10904,calibration,1
904,10905,10905,calibration,3
905,10908,10908,test,-1
906,10909,10909,calibration,5
907,1091,1091,test,-1
908,10910,10910,test,-1
909,10911,10911,calibration,3
910,10912,10912,test,-1
911,10913,10913,test,-1
912,10914,10914,calibration,4
913,10915,10915,calibration,1
914,10916,10916,calibration,3
915,10917,10917,calibration,3
916,10918,10918,calibration,2
917,10919,10919,calibration,2
919,10920,10920,test,-1
920,10921,10921,test,-1
921,10922,10922,calibration,1
922,10923,10923,test,-1
923,10924,10924,calibration,1
924,10925,10925,test,-1
925,10926,10926,test,-1
926,10927,10927,calibration,1
927,10929,10929,calibration,1
928,1093,1093,calibration,5
929,10930,10930,test,-1
930,10931,10931,calibration,1
931,10932,10932,test,-1
932,10933,10933,calibration,1
933,10934,10934,test,-1
934,10935,10935,calibration,4
935,10936,10936,test,-1
936,10937,10937,test,-1
937,10938,10938,test,-1
938,10939,10939,test,-1
939,1094,1094,calibration,3
940,10940,10940,calibration,1
941,10941,10941,test,-1
942,10942,10942,calibration,5
943,10943,10943,calibration,4
944,10944,10944,calibration,5
945,10945,10945,calibration,4
946,10946,10946,calibration,3
947,10947,10947,calibration,3
948,10948,10948,calibration,3
949,10949,10949,calibration,4
950,1095,1095,calibration,3
951,10950,10950,test,-1
952,10951,10951,test,-1
953,10952,10952,calibration,5
954,10953,10953,test,-1
955,10954,10954,calibration,2
956,10955,10955,calibration,1
957,10956,10956,calibration,4
958,10957,10957,calibration,3
959,10958,10958,calibration,2
960,10959,10959,calibration,4
961,1096,1096,test,-1
962,10960,10960,calibration,4
963,10961,10961,test,-1
964,10962,10962,calibration,2
965,10963,10963,calibration,5
966,10964,10964,test,-1
967,10965,10965,test,-1
968,10967,10967,calibration,2
969,10968,10968,test,-1
970,10969,10969,test,-1
971,1097,1097,calibration,2
972,10970,10970,calibration,5
973,10971,10971,test,-1
974,10972,10972,calibration,2
975,10973,10973,test,-1
976,10974,10974,calibration,1
977,10975,10975,calibration,1
978,10976,10976,test,-1
979,10977,10977,calibration,3
980,1098,1098,calibration,4
981,10980,10980,test,-1
982,10981,10981,test,-1
983,10982,10982,calibration,2
984,10983,10983,calibration,4
985,10984,10984,calibration,2
986,10985,10985,calibration,3
987,10986,10986,calibration,3
988,10987,10987,calibration,2
989,10988,10988,calibration,2
990,10989,10989,calibration,5
991,1099,1099,calibration,5
992,10992,10992,calibration,5
993,10993,10993,calibration,3
994,10995,10995,calibration,1
995,10996,10996,test,-1
996,10997,10997,calibration,2
997,10998,10998,calibration,3
998,10999,10999,calibration,2
999,11,11,calibration,2
1000,110,110,test,-1
1001,1100,1100,test,-1
1002,11000,11000,calibration,2
1003,11001,11001,calibration,4
1004,11002,11002,calibration,5
1005,11003,11003,calibration,4
1006,11004,11004,calibration,3
1007,11005,11005,calibration,3
1008,11006,11006,calibration,5
1009,11007,11007,calibration,3
1010,11008,11008,test,-1
1011,11009,11009,calibration,1
1012,1101,1101,test,-1
1013,11010,11010,calibration,3
1014,11011,11011,calibration,5
1015,11012,11012,test,-1
1016,11013,11013,calibration,2
1017,11014,11014,calibration,4
1018,11015,11015,test,-1
1019,11016,11016,test,-1
1020,11017,11017,test,-1
1021,11018,11018,calibration,2
1022,11019,11019,calibration,5
1024,11020,11020,test,-1
1025,11021,11021,calibration,5
1026,11022,11022,calibration,4
1027,11023,11023,calibration,1
1028,11024,11024,calibration,2
1029,11025,11025,calibration,3
1030,11026,11026,test,-1
1031,1103,1103,calibration,2
1032,11030,11030,test,-1
1033,11031,11031,calibration,4
1034,11032,11032,calibration,1
1035,11033,11033,test,-1
1036,11034,11034,test,-1
1037,11035,11035,calibration,5
1038,11036,11036,test,-1
1039,11037,11037,test,-1
1040,11038,11038,calibration,3
1041,11039,11039,calibration,4
1042,1104,1104,calibration,3
1043,11040,11040,calibration,5
1044,11042,11042,calibration,5
1045,11043,11043,test,-1
